 , , ,BKV,,No.,CAPE Name,BKV,Name1,Name2,Comment,,,
272097,NELSON,RT,138,=,3115,DIXONTP,138,RC,TK,,Y,,
,,,,,,,,,,,,,
271331,DIXON,8R,138,=,3387,DIXONTP,138,RC,TK,,Y,,
,,,,,,,,,,,,,
275213,SILVER LK,2M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
275214,SILVER LK,3M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
272465,SILVER LK,R,138,=,5340,SLVRLT83,345,BG,,Changed on 04/03/2018,Y,,
,,,,,,,,,,,,,
272464,SILVER LK,B,138,=,908,SLVLKND1,138,RC,TK,,Y,,
272464,SILVER LK,B,138,=,909,SLVLKCC1,138,RC,TK,,Y,,
272464,SILVER LK,B,138,=,910,SLVLKCC2,138,RC,TK,,Y,,
272465,SILVER LK,R,138,=,911,SLVLKND2,138,RC,TK,,Y,,
272465,SILVER LK,R,138,=,912,SLVLKCC3,138,RC,TK,,Y,,
272465,SILVER LK,R,138,=,913,SLVLKCC4,138,RC,TK,,Y,,
,,,,,,,,,,,,,
275225,TOLLWAY,3M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
272600,TOLLWAY,B,138,=,921,138kV_INDUCT,138,RC,TK,,Y,,
272600,TOLLWAY,B,138,=,923,138kV_CAPACI,138,RC,TK,,Y,,
272601,TOLLWAY,R,138,=,920,138kV_INDUCT,138,RC,TK,,Y,,
272601,TOLLWAY,R,138,=,922,138kV_CAPACI,138,RC,TK,,Y,,
,,,,,,,,,,,,,
275228,WAYNE,1M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
275229,WAYNE,4M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
270916,WAYNE,B,345,=,53006,WAYNE 45B8,345,RC,TK,,Y,,
,,,,,,,,,,,,,
275182,ELECT JCT,1M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
275183,ELECT JCT,3M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
275184,ELECT JCT,4M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
275239,ELECT JCT,2M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
271390,ELECT JCT,B,138,=,930,S111IND,138,RC,TK,,Y,,
271390,ELECT JCT,B,138,=,937,S111_CAP3,138,RC,TK,,Y,,
271390,ELECT JCT,B,138,=,938,S111_CAP4,,RC,TK,,Y,,
,,,,,,,,,,,,,
275207,PLANO,3M,345,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
275208,PLANO,4M,345,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
,,,,,,,,,,,,,
274796,UNIV PARK,BP,138,=,9061,L_6605,138,AK,,,Y,,
274796,UNIV PARK,BP,138,=,9065,T31HS,138,AK,,,Y,,
274796,UNIV PARK,BP,138,=,9064,T32HS,138,AK,,,Y,,
274797,UNIV PARK,RP,138,=,9062,L_6606,138,AK,,,Y,,
274797,UNIV PARK,RP,138,=,9063,T33HS,138,AK,,,Y,,
,,,,,,,,,,,,,
271786,JOLIET456,B,138,=,7089,AMERSWTP,138,HS,,,Y,,
271787,JOLIET456,R,138,=,7090,AMERSWTP,138,HS,,,Y,,
272654,ESS J322,BT,138,=,4004,AMERSWT2,138,HS,,Didn't find the substation ESS J-322 BRIMINGHAM STEEL related to this CAPE bus. But the mapping is done on the basis of connection to the substation JOLIET CENTRAL 456,Y,,
272655,ESS J322,RT,138,=,4005,AMERSWT1,138,HS,,Didn't find the substation ESS J-322 BRIMINGHAM STEEL related to this CAPE bus. But the mapping is done on the basis of connection to the substation JOLIET CENTRAL 456,Y,,
272652,ESS J322,B,138,=,7089,AMERSWTP,138,HS,,Didn't find the substation ESS J-322 BRIMINGHAM STEEL related to this CAPE bus. But the mapping is done on the basis of connection to the substation JOLIET CENTRAL 456,Y,,
272653,ESS J322,R,138,=,7090,AMERSWTP,138,HS,,Didn't find the substation ESS J-322 BRIMINGHAM STEEL related to this CAPE bus. But the mapping is done on the basis of connection to the substation JOLIET CENTRAL 456,Y,,
,,,,,,,,,,,,,
271656,HIGGINS,B,138,=,718,HIGGNS38,138,RC,TK,,Y,,
271656,HIGGINS,B,138,=,717,HIGGNS38,138,RC,TK,,Y,,
,,,,,,,,,,,,,
272796,WOODHILL,B,138,=,7005,WOODHLBS,138,AK,,,Y,,
272797,WOODHILL,R,138,=,7106,WOODHLBS,138,AK,,,Y,,
,,,,,,,,,,,,,
271980,MATTESON,B,138,=,640,MATTSN38,138,AK,,,Y,,
271981,MATTESON,R,138,=,641,MATTSN38,138,AK,,,Y,,
,,,,,,,,,,,,,
272260,PONTIAC,B,138,=,1116,PONTC 38B2,138,RC,TK,,Y,,
275210,PONTIAC,2M,138,=,NA,,,RC,TK,Meetpoint does not map to any CAPE bus,Check manually,,
,,,,,,,,,,,,,
270797,KINCAID,R,345,=,5286,KNCAIDT1,345,RC,TK,,Y,,
270796,KINCAID,B,345,=,5287,KNCAIDT2,345,RC,TK,,Y,,
,,,,,,,,,,,,,
271777,JEFFERSON,R,138,=,5079,JEFFRT78,138,RC,TK,,Y,,
,,,,,,,,,,,,,
NA,,,,,115,COFFEEN,345,RC,TK,Other Utility does not have corresponding PSSE bus,Check manually,,
,,,,,,,,,,,,,
NA,,,,,758,PANA 138,138,RC,TK,Other Utility does not have corresponding PSSE bus,Check manually,,
,,,,,,,,,,,,,
NA,,,,,5142,RISING,345,RC,TK,Other Utility does not have corresponding PSSE bus,Check manually,,
NA,,,,,157,RISING,345,RC,TK,Other Utility does not have corresponding PSSE bus,Check manually,,
,,,,,,,,,,,,,
NA,,,,,205,CLINTON,345,RC,TK,Other Utility does not have corresponding PSSE bus,Check manually,,
,,,,,,,,,,,,,
NA,,,,,5279,OREANATR,345,RC,TK,Other Utility does not have corresponding PSSE bus,Check manually,,
NA,,,,,855,OREANA,138,RC,TK,Other Utility does not have corresponding PSSE bus,Check manually,,
,,,,,,,,,,,,,
349700,7LANSVLAM,,345,=,164,LNSVL345 B1,345,RC,TK,,Y,,
349700,7LANSVLAM,,345,=,165,LNSVL345 B2,345,RC,TK,,Y,,
349700,7LANSVLAM,,345,=,166,LNSVL345 B3,345,RC,TK,,Y,,
NA,,,,,161,LNSVL138 B1,138,RC,TK,Other Utility does not have corresponding PSSE bus,Check manually,,
,,,,,,,,,,,,,
272896,ZION TDC,,138,=,1960,ZION 38B2,138,VK,JC,,Y,,
272896,ZION TDC,,138,=,1961,ZION 38B4,138,VK,JC,,Y,,
271912,LEITHTON,B,138,=,3289,LETHTNTP,138,VK,JC,,Y,,
271913,LEITHTON,R,138,=,3288,LETHTNTP,138,VK,JC,,Y,,
NA,,,,,402,APTKSC 38B2,138,VK,JC,NO PSSE data,Check manually,,
NA,,,,,403,APTKSC 38B3,138,VK,JC,No PSSE data,Check manually,,
271000,APTAKISIC,B,138,=,404,APTKSC 38B4,138,VK,JC,,Y,,
271001,APTAKISIC,R,138,=,401,APTKSC 38B1,138,VK,JC,No PSSE data,Y,,
NA,,,,,3290,LETHTNTP,138,VK,JC,No PSSE data,Check manually,,
NA,,,,,3331,WCHGO TP,138,VK,JC,,Check manually,,
271120,BUFFALO G,B,138,=,3122,BUFFLOTP,138,VK,JC,,Y,,
271121,BUFFALO G,R,138,=,3123,BUFFLOTP,138,VK,JC,,Y,,
270958,ESS 1A431,B,138,=,3188,ABTLABTP,138,VK,JC,,Y,,
270958,ESS 1A431,B,138,=,3256,ABTLABTP,138,VK,JC,,Y,,
270958,ESS 1A431,B,138,=,3772,ABBTLB72,138,VK,JC,,Y,,
270959,ESS 1A431,R,138,=,3773,L.1605TP,138,VK,JC,,Y,,
270959,ESS 1A431,R,138,=,3771,ABBTLB71,138,VK,JC,,Y,,
270962,ESS 1A431,6T,138,=,3188,ABTLABTP,138,VK,JC,,Y,,
270962,ESS 1A431,6T,138,=,3256,ABTLABTP,138,VK,JC,,Y,,
270963,ESS 1A431,5T,138,=,3189,ABTLABTP,138,VK,JC,,Y,,
270963,ESS 1A431,5T,138,=,3773,L.1605TP,138,VK,JC,,Y,,
271575,ESS A450,R,138,=,5229,GRTLKS76,138,VK,JC,,Y,,
271575,ESS A450,R,138,=,3190,GRTLKSTP,138,VK,JC,,Y,,
271574,ESS A450,B,138,=,5191,GRTLKS77,138,VK,JC,,Y,,
271574,ESS A450,B,138,=,3186,GRTLKSTP,138,VK,JC,,Y,,
272605,TONNE,2R,138,=,3143,TONNE 38B2,138,VK,JC,,Y,,
272604,TONNE,3B,138,=,3528,TONNE 38B3,138,VK,JC,,Y,,
272603,TONNE,1R,138,=,3527,TONNE 38B1,138,VK,JC,,Y,,
272602,TONNE,4B,138,=,3144,TONNE 38B4,138,VK,JC,,Y,,
271900,LANDMEIR,B,138,=,3409,LANDMEIR,138,VK,JC,,Y,,
271901,LANDMEIR,R,138,=,3408,LANDMEIR,138,VK,JC,,Y,,
NA,,,,,3151,L4605 TP,138,VK,JC,fictious Load Tap,Check manually,,
NA,,,,,3152,L4606 TP,138,VK,JC,fictious Load Tap,Check manually,,
271671,HOWARD,5R,138,=,3052,HOWARD,138,VK,JC,,Y,,
271673,HOWARD,8R,138,=,3053,HOWARD,138,VK,JC,,Y,,
271671,HOWARD,5R,138,=,709,L4605138,138,VK,JC,,Y,,
271129,BUSSE,R,138,=,709,L4605138,138,VK,JC,,Y,,
271319,DES PL 46,R,138,=,709,L4605138,138,VK,JC,,Y,,
271313,DES PL198,R,138,=,706,DES19838,138,VK,JC,,Y,,
271315,DES PL198,1I,138,=,707,DES19838,138,VK,JC,,Y,,
271317,DES PL198,RT,138,=,708,DES19838,138,VK,JC,,Y,,
NA,,,,,3474,L19801IN,138,VK,JC,fictious Load Tap,Check manually,,
271320,DES PL 46,7I,138,=,717,HIGGNS38,138,VK,JC,,Y,,
,,,,,,,,,,,,,
272238,PK FOREST,B,138,=,3233,PKFRSTTP,138,AK,,,Y,,
272239,PK FOREST,R,138,=,3234,PKFRSTTP,138,SK,,,Y,,
,,,,,,,,,,,,,
NA,,,,,9517,L11902 TAP,138,VK,JC,fictious load tap,Check manually,,
,,,,,,,,,,,,,
271655,HENNEEPIN,T,138,=,3324,NSTRTRTP,138,HS,,,Y,,
,,,,,,,,,,,,,
271478,ESS F375,B,138,=,4009,FRDMTR T2HS,138,AK,,,Y,,
271479,ESS F375,R,138,=,3758,F375 tap,138,AK,,,Y,,
271479,ESS F375,R,138,=,4008,FRDMTR T1HS,138,AK,,,Y,,
271480,ESS F375,BT,138,=,3104,FORD TP,138,AK,,,Y,,
271480,ESS F375,BT,138,=,2781,L7305TP,138,AK,,,Y,,
271481,ESS F375,RT,138,=,3105,FRD & KTI TP,138,AK,,,Y,,
271481,ESS F375,RT,138,=,2780,L7306TP,138,AK,,,Y,,
,,,,,,,,,,,,,
NA,,,,,189,DUCKCRK,345,HS,,No mapping in PSSE as there is no corresponding substation in PSSE,Check manually,,
,,,,,,,,,,,,,
NA,,,,,6603,MARQCMNT,138,HS,,No mapping in PSSE as there is no corresponding substation in PSSE,Check manually,,
,,,,,,,,,,,,,
NA,,,,,3438,IP COGEN,138,HS,,No mapping in PSSE as this is a ground point and doesn't have a corresponding connection in PSSE,Check manually,,
,,,,,,,,,,,,,
NA,,,,,3197,L0323 TP,138,HS,,No mapping in PSSE as this is a ground point and doesn't have a corresponding connection in PSSE,Check manually,,
,,,,,,,,,,,,,
NA,,,,,1734,SBLOOMNG,69,HS,,No mapping in PSSE. Belongs to other utility.,Check manually,,
,,,,,,,,,,,,,
NA,,,,,205,CLINTON,345,HS,,No mapping in PSSE. Belongs to other utility.,Check manually,,
,,,,,,,,,,,,,
NA,,,,,3010,MOROA TP,345,HS,,No mapping in PSSE as it is connected to the substation that is part of other utility.,Check manually,,
,,,,,,,,,,,,,
272004,ESS Z524,4B,138,=,7133,CALMSD38,138,AK,,,Y,,
272005,ESS Z524,3R,138,=,7132,CALMSD38,138,AK,,,Y,,
272010,ESS Z524,BT,138,=,3383,CALMSDTP,138,AK,,,Y,,
272011,ESS Z524,RT,138,=,3382,CALMSDTP,138,AK,,,Y,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
271414,EVERGREEN,B,138,=,7037,EVGNPKBS,138,RC,HS,,Y,,
271415,EVERGREEN,R,138,=,696,EVGNPK38,138,RC,HS,,Y,,
,,,,,,,,,,,,,
270984,ESS G394,B,138,=,7080,FSC BUS,138,RC,HS,,Y,,
270985,ESS G394,R,138,=,7081,FSC BUS,138,RC,HS,,Y,,
270986,ESS G394,BT,138,=,3230,FSC TP,138,RC,HS,,Y,,
270987,ESS G394,RT,138,=,3231,FSC TP,138,RC,HS,,Y,,
,,,,,,,,,,,,,
270982,ALSIP,B,138,=,7033,ALSIPBUS,138,RC,HS,,Y,,
270983,ALSIP,R,138,=,7032,ALSIPBUS,138,RC,HS,,Y,,
270988,ALSIP,BT,138,=,3106,ALSIPTP,138,RC,HS,,Y,,
270989,ALSIP,RT,138,=,3108,ALSIPTP,138,RC,HS,,Y,,
,,,,,,,,,,,,,
271242,CRESTWOOD,6B,138,=,3107,L7616TP,138,RC,HS,,Y,,
271243,CRESTWOOD,5R,138,=,614,CRESTWOD,138,RC,HS,,Y,,
271252,CRESTWOOD,9B,138,=,3110,L11609TP,138,RC,HS,,Y,,
271253,CRESTWOOD,3R,138,=,649,CRSTWD38,138,RC,HS,,Y,,
,,,,,,,,,,,,,
272592,TINLEY PK,B,138,=,7078,TNLYPKBS,138,RC,HS,,Y,,
272593,TINLEY PK,R,138,=,7079,TNLYPKBS,138,RC,HS,,Y,,
272594,TINLEY PK,BT,138,=,3228,TNLYPKTP,138,RC,HS,,Y,,
272595,TINLEY PK,RT,138,=,3229,TNLYPKTP,138,RC,HS,,Y,,
,,,,,,,,,,,,,
271726,G385-2,B,138,=,7025,L7612TP,138,RC,HS,,Y,,
271727,G385-2,R,138,=,7016,L7611TP,138,RC,HS,,Y,,
271732,G385-2,BT,138,=,7025,L7612TP,138,RC,HS,,Y,,
271733,G385-2,RT,138,=,7016,L7611TP,138,RC,HS,,Y,,
,,,,,,,,,,,,,
271728,G385-1,B,138,=,3174,ACME TP,138,RC,HS,,Y,,
271729,G385-1,R,138,=,3175,ACME TP,138,RC,HS,,Y,,
271730,G385-1,BT,138,=,3174,ACME TP,138,RC,HS,,Y,,
271731,G385-1,RT,138,=,3175,ACME TP,138,RC,HS,,Y,,
,,,,,,,,,,,,,
272488,S HOLLAND,B,138,=,3308,SHLLNDTP,138,RC,HS,,Y,,
272488,S HOLLAND,B,138,=,7103,SHLLNDBS,138,RC,HS,,Y,,
272489,S HOLLAND,R,138,=,3307,SHLLNDTP,138,RC,HS,,Y,,
272489,S HOLLAND,R,138,=,7102,SHLLNDBS,138,RC,HS,,Y,,
,,,,,,,,,,,,,
272361,ESS G311,R,138,=,2801,ROBB138,138,RC,HS,,Y,,
272361,ESS G311,R,138,=,3759,ROB11603,138,RC,HS,,Y,,
,,,,,,,,,,,,,
271129,BUSSE,R,138,=,3150,BUSSE TP,138,VK,JC,,Y,,
271128,BUSSE,B,138,=,3243,BUSSE TP,138,VK,JC,,Y,,
,,,,,,,,,,,,,
272456,SCHAUMBUR,BT,138,=,3151,L4605 TP,138,VK,JC,,Y,,
272457,SCHAUMBUR,RT,138,=,3152,L4606 TP,138,VK,JC,,Y,,
,,,,,,,,,,,,,
271534,GALEWOOD,1T,138,=,689,NTOMA38B,138,RC,TK,,Y,,
271535,GALEWOOD,2T,138,=,690,NTOMA38R,138,RC,TK,,Y,,
271536,GALEWOOD,3T,138,=,689,NTOMA38B,138,RC,TK,,Y,,
271537,GALEWOOD,4T,138,=,690,NTOMA38R,138,RC,TK,,Y,,
271538,GALEWOOD,1B,138,=,689,NTOMA38B,138,RC,TK,,Y,,
271539,GALEWOOD,2R,138,=,690,NTOMA38R,138,RC,TK,,Y,,
271540,GALEWOOD,3B,138,=,689,NTOMA38B,138,RC,TK,,Y,,
271541,GALEWOOD,4R,138,=,690,NTOMA38R,138,RC,TK,,Y,,
,,,,,,,,,,,,,
272372,ROLLING M,B,138,=,3371,ROLMDW 38B,138,VK,JC,,Y,,
272373,ROLLING M,R,138,=,3370,ROLMDW 38B,138,VK,JC,,Y,,
,,,,,,,,,,,,,
272430,S SCHAUMB,B,138,=,2888,SOSCHAMB,138,VK,JC,,Y,,
272431,S SCHAUMB,R,138,=,2887,SOSCHAMB,138,VK,JC,,Y,,
272493,S SCHAUMB,RT,138,=,6600,L18505 BUS,138,VK,JC,,Y,,
272492,S SCHAUMB,BT,138,=,6601,L18506 BUS,138,VK,JC,,Y,,
,,,,,,,,,,,,,
272034,MT PROSPE,B,138,=,3285,MTPROSTP,138,VK,JC,,Y,,
272035,MT PROSPE,R,138,=,3286,MTPROSTP,138,VK,JC,,Y,,
,,,,,,,,,,,,,
272275,P HTS 217,R,138,=,3471,L_11103,138,VK,JC,,Y,,
272275,P HTS 217,R,138,=,3325,PH217 TP,138,VK,JC,,Y,,
272274,P HTS 217,B,138,=,3478,PROS_HTS,138,VK,JC,,Y,,
272274,P HTS 217,B,138,=,3326,PH217 TP,138,VK,JC,,Y,,
,,,,,,,,,,,,,
272778,WHEELING,B,138,=,3292,WHELNGTP,138,VK,JC,,Y,,
272779,WHEELING,R,138,=,3291,WHELNGTP,138,VK,JC,,Y,,
,,,,,,,,,,,,,
271009,ARLINGTON,R,138,=,3191,ARLNGTTP,138,VK,JC,,Y,,
271008,ARLINGTON,B,138,=,3192,ARLNGTTP,138,VK,JC,,Y,,
,,,,,,,,,,,,,
272780,WILDWOOD,B,138,=,772,WILDWD38,138,AK,,,Y,,
272780,WILDWOOD,B,138,=,773,WILDWD38,138,AK,,,Y,,
272781,WILDWOOD,R,138,=,774,WILDWD38,138,AK,,,Y,,
272781,WILDWOOD,R,138,=,775,WILDWD38,138,AK,,,Y,,
,,,,,,,,,,,,,
271088,BEVERLY,B,138,=,3176,BEVRL38B,138,AK,,,Y,,
271089,BEVERLY,R,138,=,3165,BEVRLYTP,138,AK,,,Y,,
271090,BEVERLY,BT,138,=,3308,SHLLNDTP,138,AK,,,Y,,
271091,BEVERLY,RT,138,=,3307,SHLLNDTP,138,AK,,,Y,,
,,,,,,,,,,,,,
271292,DAMEN,B,138,=,7064,DAMENBUS,138,AK,,,Y,,
271293,DAMEN,R,138,=,7017,DAMENBUS,138,AK,,,Y,,
,,,,,,,,,,,,,
272720,WALLACE,B,138,=,771,WALLAC38,138,AK,,,Y,,
272721,WALLACE,R,138,=,7116,WALLCBUS,138,AK,,,Y,,
,,,,,,,,,,,,,
272358,ROBERTS R,B,138,=,3264,RBTSRDTP,138,AK,,,Y,,
272359,ROBERTS R,R,138,=,3262,RBTSRDTP,138,AK,,,Y,,
,,,,,,,,,,,,,
271002,ARCHER,B,138,=,3260,ARCHERTP,138,AK,,,Y,,
271003,ARCHER,R,138,=,3261,ARCHERTP,138,AK,,,Y,,
,,,,,,,,,,,,,
271254,ESS D438,B,138,=,1081,D438 5103TP1,138,VK,JC,,Y,,
271254,ESS D438,B,138,=,1082,D438 5103TP2,138,VK,JC,,Y,,
271255,ESS D438,R,138,=,1083,D438 5104/T5,138,VK,JC,,Y,,
271254,ESS D438,B,138,=,3390,L5103 TP,138,VK,JC,,Y,,
271074,BEDFORD P,BT,138,=,3390,L5103 TP,138,VK,JC,,Y,,
271217,CLEARING,RT,138,=,3301,CLERNGTP,138,VK,JC,,Y,,
271215,CLEARING,R,138,=,7100,CLERNGBS,138,VK,JC,,Y,,
271214,CLEARING,B,138,=,7101,CLERNGBS,138,VK,JC,,Y,,
271216,CLEARING,BT,138,=,863,L5103NEB,138,VK,JC,,Y,,
272453,SAYRE,R,138,=,3017,SAYRE TP,138,VK,JC,,Y,,
272452,SAYRE,B,138,=,3018,SAYRE TP,138,VK,JC,,Y,,
271216,CLEARING,BT,138,=,3391,BDFDPKTP,138,VK,JC,,Y,,
272452,SAYRE,B,138,=,2786,L11605TP,138,VK,JC,,Y,,
271216,CLEARING,BT,138,=,862,L5103SWB,138,VK,JC,,Y,,
271113,BRDGEVIEW,R,138,=,3341,BRDGVWTP,138,VK,JC,,Y,,
271112,BRDGEVIEW,B,138,=,3340,BRDGVWTP,138,VK,JC,,Y,,
272237,PALOS TWP,R,138,=,3263,PALOSTP,138,VK,JC,,Y,,
272236,PALOS TWP,B,138,=,3265,PALOSTP,138,VK,JC,,Y,,
272201,ORLAND PK,R,138,=,3513,Orland138TP,138,VK,JC,,Y,,
272200,ORLAND PK,B,138,=,3514,Orland138TP,138,VK,JC,,Y,,
271079,BELL ROAD,RT,138,=,3384,BLLRD 1811TP,138,VK,JC,,Y,,
271077,BELL ROAD,R,138,=,3384,BLLRD 1811TP,138,VK,JC,,Y,,
271078,BELL ROAD,BT,138,=,3399,BLL RD1808TP,138,VK,JC,,Y,,
271076,BELL ROAD,B,138,=,3399,BLL RD1808TP,138,VK,JC,,Y,,
,,,,,,,,,,,,,
272234,PALATINE,B,138,=,3463,PALTNETP,138,VK,JC,,,,
272234,PALATINE,B,138,=,7056,PALATNBS,138,VK,JC,,,,
272235,PALATINE,R,138,=,7055,PALATNBS,138,VK,JC,,,,
,,,,,,,,,,,,,
271410,ELMWOOD,B,138,=,3334,ELMWODTP,138,VK,JC,,,,
271411,ELMWOOD,R,138,=,3333,ELMWODTP,138,VK,JC,,,,
,,,,,,,,,,,,,
272466,SKOKIE 85,0T,138,=,3157,SKO88 TP,138,VK,JC,,,,
,,,,,,,,,,,,,
272469,SKOKIE 85,RT,138,=,7013,SKO85BUS_B3,138,VK,JC,,,,
272470,SKOKIE 85,9T,138,=,3160,SKO88 TP,138,VK,JC,,,,
272472,SKOKIE 85,3B,138,=,998882,SKO85BUS_B1,138,VK,JC,,,,
272476,SKOKIE 85,B,138,=,3321,SKO85BUS_B2,138,VK,JC,,,,
,,,,,,,,,,,,,
272793,ESS C434,R,138,=,3332,NRTHFLDT,138,VK,JC,,,,
,,,,,,,,,,,,,
272793,ESS C434,R,138,=,3330,WCHGO TP,138,VK,JC,,,,
272792,ESS C434,B,138,=,3357,NRTHFLDTP,138,VK,JC,,,,
272792,ESS C434,B,138,=,3429,NRTHFLD,138,VK,JC,,,,
,,,,,,,,VK,JC,,,,
272122,NBROOK212,B,138,=,3223,NTHPRTP,138,VK,JC,,,,
,,,,,,,,VK,JC,,,,
271309,DEERFIELD,RT,138,=,3284,DERFLDTP,138,VK,JC,,,,
271306,DEERFIELD,B,138,=,7098,DERFLDBS,138,VK,JC,,,,
271307,DEERFIELD,R,138,=,7099,DERFLDBS,138,VK,JC,,,,
271308,DEERFIELD,BT,138,=,3283,DERFLDTP,138,VK,JC,,,,
,,,,,,,,,,,,,
271659,HIGHLAND,1R,138,=,797,HLNDPK38 B1,138,VK,JC,,,,
271678,HIGHLAND,4B,138,=,800,HLNDPK38 B4,138,VK,JC,,,,
271658,HIGHLAND,3B,138,=,799,HLNDPK38 B3,138,VK,JC,,,,
271679,HIGHLAND,2R,138,=,798,HLNDPK38 B2,138,VK,JC,,,,
,,,,,,,,,,,,,
272192,OLD ELM,B,138,=,3296,OLDELMTP,138,VK,JC,,,,
272193,OLD ELM,R,138,=,3295,OLDELMTP,138,VK,JC,,,,
,,,,,,,,,,,,,
272254,PL HILL,BT,138,=,2787,L12008TP,138,AK,,,,,
,,,,,,,,,,,,,
NA,,,,,381,BUS_8,345,VK,JC,No PSSE data,,,
NA,,,,,382,BUS_8,345,VK,JC,No PSSE data,,,
NA,,,,,383,BUS_8,345,VK,JC,No PSSE data,,,
,,,,,,,,,,,,,
699247,ARCADN3,,345,=,924700,ARCADIAN3,345,RC,TK,,,,
,,,,,,,,,,,,,
NA,,,,,387,STA16B 45B6,345,VK,JC,No PSSE data,,,
NA,,,,,388,STA16B 45B6,345,VK,JC,No PSSE data,,,
NA,,,,,392,STA16R 45B11,345,VK,JC,No PSSE data,,,
,,,,,,,,,,,,,
NA,,,,,5186,WAUKGNT8,138,VK,JC,No PSSE data,,,
,,,,,,,,,,,,,
275215,SKOKIE 88,1M,138,=,NA,,,VK,JC,MIDPOINT,,,
275216,SKOKIE 88,2M,138,=,NA,,,VK,JC,MIDPOINT,,,
275217,SKOKIE 88,3M,138,=,NA,,,VK,JC,MIDPOINT,,,
275218,SKOKIE 88,4M,138,=,NA,,,VK,JC,MIDPOINT,,,
,,,,,,,,,,,,,
275158,BLOOM,4M,138,=,NA,,,VK,JC,MIDPOINT,,,
,,,,,,,,,,,,,
699432,PLS PR1,,345,=,884950,S10005a_2221,345,RC,TK,,,,
699432,PLS PR1,,345,=,884900,PLEAS_PR_B2,345,RC,TK,,,,
699432,PLS PR1,,345,=,884951,Zion_T_L2221,345,RC,TK,,,,
,,,,,,,,,,,,,
272508,STERLING,B,138,=,2850,STERL138,138,HS,,,,,
272508,STERLING,B,138,=,2855,STERL138,138,HS,,,,,
272508,STERLING,B,138,=,3385,L12411TP,138,HS,,,,,
,,,,,,,,,,,,,
271877,LK BLUFF,R,138,=,3467,LKEBLFF 38B1,138,VK,JC,,,,
271876,LK BLUFF,B,138,=,3468,LKEBLFF 38B3,138,VK,JC,,,,
,,,,,,,,,,,,,
272126,ESS D787,B,138,=,NA,,,VK,JC,NO PSSE DATA,,,
272127,ESS D787,R,138,=,NA,,,VK,JC,NO PSSE DATA,,,
271016,ESS D789,B,138,=,NA,,,VK,JC,NO PSSE DATA,,,
271017,ESS D789,R,138,=,NA,,,VK,JC,NO PSSE DATA,,,
271547,ESS F387,R,138,=,NA,,,VK,JC,NO PSSE DATA,,,
272270,ESS G373,B,138,=,NA,,,VK,JC,NO PSSE DATA,,,
272271,ESS G373,R,138,=,NA,,,VK,JC,NO PSSE DATA,,,
,,,,,,,,,,,,,
272454,SCHAUMBUR,B,138,=,7001,SCHMBRBS,138,HS,,,,,
272455,SCHAUMBUR,R,138,=,7002,SCHMBRBS,138,HS,,,,,
,,,,,,,,,,,,,
271412,EVANSTON,B,138,=,7004,EVNSTNBS,138,RC,TK,,,,
,,,,,,,,,,,,,
272102,NILES,B,138,=,7010,NILESBUS,138,RC,TK,,,,
272104,NILES,BT,138,=,3155,NILES TP,138,RC,TK,,,,
,,,,,,,,,,,,,
NA,,,,,757,MARKTOWN,138,VK,JC,NO PSSE DATA,,,
NA,,,,,610,MITHCELL,138,VK,JC,NO PSSE DATA,,,
NA,,,,,1056,MODAFF14 38B,138,VK,JC,NO PSSE DATA,,,
NA,,,,,2741,MODAFF15 38B,138,VK,JC,NO PSSE DATA,,,
NA,,,,,844,MEADWS14 38B,138,VK,JC,NO PSSE DATA,,,
NA,,,,,845,MEADWS13 38B,138,VK,JC,NO PSSE DATA,,,
NA,,,,,909000,RSS 138 BUS1,138,VK,JC,NO PSSE DATA,,,
NA,,,,,909001,RSS 138 BUS2,138,VK,JC,NO PSSE DATA,,,
NA,,,,,934500,KENOSHA_4,138,VK,JC,NO PSSE DATA,,,
NA,,,,,934501,KENOSHA_5,138,VK,JC,NO PSSE DATA,,,
NA,,,,,936200,LAKEVIEW_4,138,VK,JC,NO PSSE DATA,,,
NA,,,,,936201,LAKEVIEW_5,138,VK,JC,NO PSSE DATA,,,
,,,,,,,,,,,,,
271099,BLOOM,R,138,=,7705,IND,138,RC,TK,,,,
,,,,,,,,,,,,,
272726,WASHINGTO,B,138,=,877,WASHP38B,138,RC,TK,,,,
,,,,,,,,,,,,,
272465,SILVER LK,R,138,=,3460,L4203TP,138,VK ,JC,,,,
