 , , ,BKV,,No.,CAPE Name,BKV,Name1,Name2,Comment,,,
270899,TAYLOR,R,345,=,192,TAYLOR B1,345,BG,JQ,,,,
270899,TAYLOR,R,345,=,162,TAYLOR B2,345,BG,JQ,,,,
270899,TAYLOR,R,345,=,196,TAYLOR B3,345,BG,JQ,,,,
,,,,,,,,,,,,,
270806,LIBERTYVI,B,345,=,131,LBRVL45R,345,BG,JQ,,,,
270807,LIBERTYVI,R,345,=,130,LBRVL45R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270828,NELSON,B,345,=,364,NLSN345B9,345,BG,JQ,,,,
270828,NELSON,B,345,=,365,NLSN345B5,345,BG,JQ,,,,
270828,NELSON,B,345,=,366,NLSN345B6,345,BG,JQ,,,,
270828,NELSON,B,345,=,367,NLSN345B7,345,BG,JQ,,,,
270828,NELSON,B,345,=,368,NLSN345B8,345,BG,JQ,,,,
270828,NELSON,B,345,=,369,NLSN345B10,345,BG,JQ,,,,
270828,NELSON,B,345,=,370,NLSN345B1&2,345,BG,JQ,,,,
270828,NELSON,B,345,=,374,NLSN345B3&4,345,BG,JQ,,,,
,,,,,,,,,,,,,
270694,CHERRY VA,B,345,=,234,BUS_4,345,BG,JQ,"Before we mapped 235(CAPE) to 270694(PSSE) and 242 (CAPE) to 270695(PSSE). But we switched the mapping after looking at TR 81, 82 and 83 connections.",,,
270694,CHERRY VA,B,345,=,242,BUS_12,345,BG,JQ,,,,
270694,CHERRY VA,B,345,=,243,BUS_13,345,BG,JQ,,,,
,,,,,,,,,,,,,
270695,CHERRY VA,R,345,=,236,BUS_6,345,BG,JQ,,,,
270695,CHERRY VA,R,345,=,240,BUS_10,345,BG,JQ,,,,
270695,CHERRY VA,R,345,=,241,BUS_11,345,BG,JQ,,,,
270695,CHERRY VA,R,345,=,235,BUS_5,345,BG,JQ,,,,
,,,,,,,,,,,,,
270830,NBROOK159,B,345,=,137,NTHBR45B,345,BG,JQ,,,,
270831,NBROOK159,R,345,=,136,NTHBR45R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270846,PLANO,B,345,=,183,PLANO45B,345,BG,JQ,,,,
270847,PLANO,R,345,=,184,PLANO45R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270918,WEMPLETOW,B,345,=,180,WMPLTW34,345,BG,JQ,,,,
270919,WEMPLETOW,R,345,=,180,WMPLTW34,345,BG,JQ,,,,
,,,,,,,,,,,,,
270764,GOLF MILL,B,345,=,155,GLFML45B,345,BG,JQ,,,,
270765,GOLF MILL,R,345,=,156,GLFML45R,345,BG,JQ,,,,
,,,,,,,,,,,,,
